year,current,after5y,sex,age_range_start,age_range_end
2013,9,9,女性,45,49
2013,7,10,男性,45,49
2013,7,5,女性,60,64
2013,9,9,女性,40,44
2013,4,3,女性,50,54
2013,7,7,男性,70,74
2013,9,9,男性,60,64
2013,7,9,女性,35,39
2013,5,7,女性,50,54
2013,8,8,女性,55,59
2013,10,10,女性,45,49
2013,9,9,女性,35,39
2013,4,4,男性,65,69
2013,8,8,男性,40,44
2013,8,6,男性,55,59
2013,8,8,女性,50,54
2013,8,11,男性,55,59
2013,3,2,男性,50,54
2013,8,10,女性,60,64
2013,8,8,男性,45,49
2013,9,9,女性,50,54
2013,7,10,女性,30,34
2013,8,10,女性,25,29
2013,8,5,男性,65,69
2013,5,3,女性,30,34
2013,8,8,女性,65,69
2013,8,11,男性,45,49
2013,5,5,女性,45,49
2013,7,9,男性,45,49
2013,7,10,女性,45,49
2013,7,4,女性,65,69
2013,6,7,男性,35,39
2013,5,5,男性,50,54
2013,4,5,男性,60,64
2013,8,8,女性,45,49
2013,7,6,女性,40,44
2013,10,8,男性,60,64
2013,7,9,男性,35,39
2013,6,5,男性,35,39
2013,4,5,男性,30,34
2013,5,5,男性,55,59
2013,8,13,女性,35,39
2013,4,-1,男性,40,44
2013,5,10,男性,40,44
2013,7,4,男性,40,44
2013,6,5,男性,70,74
2013,7,6,女性,50,54
2013,6,11,女性,30,34
2013,5,4,女性,45,49
2013,9,8,女性,70,74
2013,3,3,女性,40,44
2013,9,9,女性,65,69
2013,5,5,男性,35,39
2013,8,10,女性,50,54
2013,6,5,男性,30,34
2013,3,1,男性,40,44
2013,5,7,女性,45,49
2013,6,6,男性,55,59
2013,5,5,男性,60,64
2013,9,13,女性,50,54
2013,7,9,男性,55,59
2013,7,8,女性,35,39
2013,8,10,女性,55,59
2013,6,6,男性,60,64
2013,3,0,男性,65,69
2013,8,13,女性,40,44
2013,5,1,女性,45,49
2013,7,7,女性,50,54
2013,6,7,女性,45,49
2013,7,7,女性,40,44
2013,9,11,女性,60,64
2013,8,5,男性,50,54
2013,7,7,男性,70,74
2013,5,3,女性,50,54
2013,9,10,男性,65,69
2013,10,8,女性,50,54
2013,10,10,女性,20,24
2013,8,8,男性,60,64
2013,8,11,男性,55,59
2013,5,8,男性,60,64
2013,9,14,女性,45,49
2013,8,8,男性,70,74
2013,8,8,女性,45,49
2013,6,8,男性,45,49
2013,8,11,男性,65,69
2013,8,7,女性,40,44
2013,5,2,男性,35,39
2013,5,5,女性,30,34
2013,9,12,女性,35,39
2013,8,8,男性,60,64
2013,9,9,男性,50,54
2013,9,12,男性,35,39
2013,7,7,女性,55,59
2013,7,7,女性,55,59
2013,6,7,女性,40,44
2013,8,8,男性,55,59
2013,10,10,女性,50,54
2013,6,8,女性,40,44
2013,6,5,女性,50,54
2013,6,5,男性,75,79
2013,8,8,女性,55,59
2013,6,6,男性,35,39
2013,8,10,女性,55,59
2013,8,6,女性,50,54
2013,8,7,女性,70,74
2013,8,7,女性,75,79
2013,8,10,女性,40,44
2013,8,10,男性,45,49
2013,4,3,男性,45,49
2013,5,6,女性,35,39
2013,8,8,男性,80,84
2013,9,12,女性,40,44
2013,5,5,女性,50,54
2013,7,6,男性,50,54
2013,9,8,女性,35,39
2013,8,11,女性,25,29
2013,5,5,男性,65,69
2013,6,6,女性,35,39
2013,5,7,女性,25,29
2013,7,7,女性,45,49
2013,7,5,男性,60,64
2013,8,6,女性,50,54
2013,0,2,女性,55,59
2013,9,12,男性,50,54
2013,8,8,男性,55,59
2013,9,14,女性,50,54
2013,7,6,女性,50,54
2013,8,4,男性,60,64
2013,10,15,男性,60,64
2013,8,13,女性,40,44
2013,10,10,女性,45,49
2013,10,15,女性,45,49
2013,7,7,男性,60,64
2013,4,4,女性,35,39
2013,8,8,女性,35,39
2013,7,9,女性,55,59
2013,9,9,女性,45,49
2013,9,14,女性,50,54
2013,6,8,女性,50,54
2013,7,7,女性,55,59
2013,8,7,女性,40,44
2013,8,5,男性,35,39
2013,8,8,男性,50,54
2013,6,11,女性,35,39
2013,7,4,男性,55,59
2013,10,13,女性,55,59
2013,8,8,男性,55,59
2013,10,10,男性,40,44
2013,8,7,女性,40,44
2013,2,2,女性,50,54
2013,8,10,男性,50,54
2013,8,8,女性,40,44
2013,10,10,女性,45,49
2013,10,10,女性,50,54
2013,7,5,男性,50,54
2013,5,5,男性,65,69
2013,6,9,女性,50,54
2013,7,7,女性,45,49
2013,6,5,女性,65,69
2013,3,5,男性,45,49
2013,9,14,女性,65,69
2013,6,9,女性,65,69
2013,7,7,女性,55,59
2013,9,9,女性,60,64
2013,6,11,女性,45,49
2013,9,9,女性,60,64
2013,9,12,女性,35,39
2013,1,1,女性,60,64
2013,6,1,男性,60,64
2013,9,9,女性,40,44
2013,8,10,男性,45,49
2013,9,6,女性,50,54
2013,9,9,女性,55,59
2013,7,7,女性,50,54
2013,8,8,男性,40,44
2013,9,10,女性,30,34
2013,8,8,女性,65,69
2013,10,13,女性,35,39
2013,9,13,女性,35,39
2013,8,9,女性,35,39
2013,8,6,女性,50,54
2013,3,0,男性,40,44
2013,9,9,女性,50,54
2013,8,8,男性,60,64
2013,9,12,男性,45,49
2013,5,3,女性,55,59
2013,7,7,女性,50,54
2013,9,11,女性,50,54
2013,5,5,女性,50,54
2013,7,7,男性,50,54
2013,8,8,男性,40,44
2013,7,8,男性,40,44
2013,5,5,男性,45,49
2013,8,8,女性,65,69
2013,7,5,女性,55,59
2013,9,14,女性,30,34
2013,7,9,女性,45,49
2013,9,11,女性,50,54
2013,8,8,男性,60,64
2013,7,5,女性,40,44
2013,7,5,男性,60,64
2013,9,10,女性,50,54
2013,10,15,女性,35,39
2013,2,0,女性,40,44
2013,7,7,女性,55,59
2013,5,2,女性,45,49
2013,8,10,男性,60,64
2013,8,8,女性,45,49
2013,3,1,女性,50,54
2013,5,4,女性,40,44
2013,8,10,女性,40,44
2013,10,10,男性,60,64
2013,10,10,女性,40,44
2013,5,6,男性,80,84
2013,7,9,男性,60,64
2013,7,11,女性,45,49
2013,7,7,女性,45,49
2013,7,7,女性,60,64
2013,7,8,男性,35,39
2013,5,4,男性,65,69
2013,7,7,女性,40,44
2013,8,8,女性,60,64
2013,8,8,女性,60,64
2013,9,9,女性,30,34
2013,9,9,女性,55,59
2013,7,7,女性,45,49
2013,4,-1,女性,40,44
2013,5,5,男性,45,49
2013,4,0,女性,50,54
2013,8,8,男性,50,54
2013,9,8,女性,50,54
2013,6,8,女性,45,49
2013,7,7,女性,65,69
2013,5,7,女性,50,54
2013,7,6,女性,45,49
2013,7,12,女性,50,54
2013,7,9,女性,35,39
2013,5,0,女性,30,34
2013,9,14,女性,35,39
2013,7,7,男性,50,54
2013,9,9,女性,55,59
2013,5,7,女性,40,44
2013,9,11,男性,70,74
2013,7,8,男性,70,74
2013,7,7,男性,50,54
2013,8,13,女性,35,39
2013,8,8,男性,30,34
2013,7,7,男性,55,59
2013,7,8,男性,45,49
2013,6,4,女性,55,59
2013,5,8,女性,45,49
2013,7,8,女性,50,54
2013,8,9,女性,30,34
2013,8,8,女性,45,49
2013,8,8,男性,35,39
2013,3,-2,女性,55,59
2013,7,4,女性,60,64
2013,7,7,女性,40,44
2013,5,2,女性,55,59
2013,7,7,男性,70,74
2013,5,4,男性,25,29
2013,7,7,男性,45,49
2013,7,7,女性,35,39
2013,10,10,女性,60,64
2013,10,10,男性,60,64
2013,7,7,男性,75,79
2013,8,10,女性,45,49
2013,8,8,女性,65,69
2013,5,2,男性,80,84
2013,9,9,女性,35,39
2013,8,9,女性,45,49
2013,7,8,女性,35,39
2013,8,8,女性,45,49
2013,8,8,女性,50,54
2013,5,10,女性,30,34
2013,8,5,男性,75,79
2013,7,9,女性,50,54
2013,10,10,女性,40,44
2013,6,6,女性,30,34
2013,7,10,女性,45,49
2013,6,6,男性,60,64
2013,6,11,女性,60,64
2013,8,12,男性,55,59
2013,9,9,女性,45,49
2013,9,9,女性,40,44
2013,8,6,女性,65,69
2013,7,7,男性,55,59
2013,5,2,男性,45,49
2013,0,2,男性,50,54
2013,3,3,女性,40,44
2013,6,1,女性,50,54
2013,5,5,女性,35,39
2013,6,7,女性,35,39
2013,7,5,女性,50,54
2013,6,3,男性,60,64
2013,9,11,女性,45,49
2013,6,4,女性,70,74
2013,5,8,女性,50,54
2013,7,7,女性,45,49
2013,7,10,女性,50,54
2013,7,7,女性,45,49
2013,7,7,女性,45,49
2013,7,7,女性,40,44
2013,1,-1,女性,30,34
2013,5,5,女性,30,34
2013,8,8,女性,50,54
2013,7,7,男性,60,64
2013,8,8,女性,40,44
2013,10,15,女性,55,59
2013,6,4,女性,35,39
2013,6,7,女性,45,49
2013,8,8,男性,60,64
2013,7,7,男性,55,59
2013,3,4,男性,40,44
2013,5,0,女性,70,74
2013,8,10,女性,40,44
2013,8,8,女性,45,49
2013,8,11,女性,30,34
2013,9,11,女性,30,34
2013,5,3,女性,55,59
2013,4,6,男性,25,29
2013,9,9,女性,50,54
2013,10,10,女性,40,44
2013,8,8,男性,60,64
2013,8,5,男性,65,69
2013,6,6,女性,55,59
2013,8,10,女性,50,54
2013,8,11,男性,65,69
2013,8,8,男性,55,59
2013,9,9,女性,50,54
2013,5,5,男性,75,79
2013,7,7,女性,55,59
2013,8,5,女性,65,69
2013,9,8,女性,65,69
2013,5,5,女性,70,74
2013,5,5,男性,60,64
2013,5,8,男性,40,44
2013,8,13,男性,40,44
2013,9,10,男性,50,54
2013,10,10,男性,60,64
2013,6,6,男性,60,64
2013,7,6,男性,65,69
2013,10,15,男性,40,44
2013,8,8,女性,55,59
2013,8,7,女性,45,49
2013,9,9,男性,50,54
2013,8,10,女性,45,49
2013,10,10,女性,45,49
2013,7,7,男性,55,59
2013,9,12,男性,65,69
2013,8,8,女性,60,64
2013,8,8,男性,65,69
2013,8,9,女性,50,54
2013,2,7,女性,50,54
2013,7,7,女性,45,49
2013,7,10,女性,40,44
2013,6,5,男性,45,49
2013,6,11,男性,60,64
2013,7,7,女性,40,44
2013,7,5,男性,45,49
2013,5,6,男性,45,49
2013,10,10,女性,25,29
2013,6,5,女性,80,84
2013,7,7,女性,65,69
2013,6,6,男性,60,64
2013,7,7,女性,50,54
2013,5,5,男性,60,64
2013,8,6,女性,55,59
2013,6,6,男性,60,64
2013,8,13,女性,35,39
2013,10,15,男性,55,59
2013,10,10,女性,40,44
2013,5,6,女性,45,49
2013,5,7,女性,30,34
2013,8,13,女性,40,44
2013,8,12,女性,40,44
2013,8,11,男性,50,54
2013,5,5,女性,35,39
2013,8,8,女性,55,59
2013,10,7,男性,70,74
2013,7,7,女性,45,49
2013,7,7,女性,40,44
2013,6,3,男性,75,79
2013,8,6,女性,40,44
2013,7,5,女性,60,64
2013,8,7,女性,50,54
2013,9,10,女性,40,44
2013,7,5,女性,50,54
2013,7,9,女性,45,49
2013,7,7,男性,60,64
2013,7,7,女性,40,44
2013,8,6,男性,55,59
2013,7,6,男性,45,49
2013,8,6,女性,35,39
2013,8,11,女性,50,54
2013,8,13,女性,45,49
2013,9,9,女性,70,74
2013,8,12,女性,50,54
2013,7,3,男性,60,64
2013,6,1,男性,75,79
2013,8,8,男性,75,79
2013,7,6,女性,45,49
2013,3,3,男性,75,79
2013,7,12,男性,55,59
2013,8,6,男性,65,69
2013,8,9,女性,50,54
2013,5,6,女性,35,39
2013,9,11,女性,50,54
2013,8,8,女性,25,29
2013,4,4,男性,40,44
2013,9,11,男性,65,69
2013,4,1,男性,55,59
2013,3,0,女性,45,49
2013,6,9,男性,45,49
2013,9,9,女性,50,54
2013,7,4,男性,65,69
2013,8,7,女性,40,44
2013,9,9,男性,70,74
2013,9,11,女性,40,44
2013,3,3,女性,60,64
2013,8,6,女性,40,44
2013,6,5,女性,45,49
2013,8,6,男性,45,49
2013,8,10,女性,55,59
2013,3,4,女性,40,44
2013,10,10,女性,55,59
2013,6,1,男性,55,59
2013,9,10,女性,50,54
2013,6,5,男性,50,54
2013,7,7,男性,70,74
2013,1,1,女性,25,29
2013,8,12,男性,50,54
2013,5,7,女性,55,59
2013,8,8,女性,30,34
2013,7,7,女性,40,44
2013,3,4,女性,45,49
2013,10,10,男性,60,64
2013,9,9,女性,50,54
2013,5,5,女性,35,39
2013,2,7,男性,55,59
2013,7,5,男性,65,69
2013,5,8,女性,60,64
2013,8,8,男性,45,49
2013,8,8,女性,55,59
2013,9,9,男性,30,34
2013,9,9,女性,55,59
2013,8,11,女性,40,44
2013,5,5,女性,35,39
2013,6,7,女性,30,34
2013,7,8,女性,50,54
2013,7,10,男性,65,69
2013,6,6,女性,45,49
2013,5,5,男性,55,59
2013,3,8,女性,30,34
2013,8,10,女性,55,59
2013,9,14,女性,50,54
2013,8,8,男性,45,49
2013,6,6,女性,65,69
2013,9,9,女性,45,49
2013,8,7,女性,60,64
2013,5,5,男性,55,59
2013,5,4,男性,80,84
2013,8,8,男性,45,49
2013,6,6,女性,50,54
2013,8,10,男性,45,49
2013,6,11,女性,35,39
2013,8,9,女性,45,49
2013,9,9,女性,60,64
2013,7,4,女性,45,49
2013,7,6,女性,45,49
2013,7,7,女性,45,49
2013,5,3,女性,55,59
2013,7,8,男性,60,64
2013,10,13,男性,50,54
2013,6,6,女性,45,49
2013,5,5,女性,40,44
2013,7,7,男性,45,49
2013,9,12,女性,50,54
2013,5,5,女性,45,49
2013,10,13,女性,50,54
2013,9,13,女性,35,39
2013,6,9,男性,60,64
2013,1,2,女性,40,44
2013,6,9,女性,50,54
2013,9,14,女性,35,39
2013,7,4,女性,50,54
2013,8,12,女性,50,54
2013,8,11,男性,40,44
2013,7,9,女性,35,39
2013,10,8,女性,45,49
2013,8,9,女性,40,44
2013,7,7,女性,50,54
2013,7,7,女性,40,44
2013,7,7,女性,45,49
2013,6,7,女性,60,64
2013,8,8,女性,30,34
2013,7,7,女性,30,34
2013,7,7,男性,50,54
2013,6,5,女性,55,59
2013,9,9,女性,45,49
2013,3,3,女性,40,44
2013,6,3,男性,50,54
2013,5,5,男性,40,44
2013,9,8,女性,40,44
2013,7,5,女性,65,69
2013,7,7,男性,65,69
2013,5,2,男性,50,54
2013,8,7,女性,40,44
2013,6,4,男性,55,59
2013,7,4,女性,45,49
2013,9,12,女性,35,39
2013,8,8,女性,55,59
2013,6,5,女性,45,49
2013,10,15,女性,25,29
2013,5,8,女性,50,54
2013,8,8,男性,60,64
2013,8,13,女性,30,34
2013,7,8,女性,25,29
2013,8,6,女性,35,39
2013,10,5,男性,75,79
2013,5,2,女性,45,49
2013,6,10,女性,45,49
2013,10,10,男性,50,54
2013,5,5,男性,60,64
2013,8,8,女性,55,59
2013,8,10,女性,55,59
2013,6,8,女性,60,64
2013,5,7,男性,15,19
2013,7,9,男性,50,54
2013,9,13,女性,40,44
2013,6,8,女性,45,49
2013,7,9,男性,60,64
2013,9,12,女性,55,59
2013,7,7,女性,45,49
2013,6,7,女性,45,49
2013,7,7,男性,25,29
2013,10,13,男性,70,74
2013,7,6,女性,60,64
2013,4,4,女性,50,54
2013,8,8,女性,40,44
2013,5,6,女性,35,39
2013,8,8,女性,40,44
2013,2,4,男性,60,64
2013,9,9,男性,65,69
2013,8,8,女性,60,64
2013,7,7,男性,45,49
2013,10,10,女性,70,74
2013,8,10,女性,40,44
2013,9,11,男性,40,44
2013,8,13,男性,35,39
2013,8,8,女性,60,64
2013,8,10,男性,60,64
2013,5,5,男性,50,54
2013,8,10,男性,65,69
2013,7,9,女性,30,34
2013,8,5,女性,65,69
2013,6,6,女性,40,44
2013,5,5,女性,35,39
2013,8,8,女性,40,44
2013,8,8,女性,50,54
2013,8,8,女性,30,34
2013,5,2,男性,80,84
2013,5,5,男性,50,54
2013,7,4,男性,40,44
2013,5,5,男性,65,69
2013,7,9,男性,30,34
2013,7,8,女性,45,49
2013,8,8,女性,55,59
2013,8,13,男性,25,29
2013,7,7,女性,45,49
2013,7,5,女性,60,64
2013,7,4,女性,45,49
2013,6,6,女性,40,44
2013,9,9,男性,30,34
2013,8,13,男性,45,49
2013,8,8,女性,45,49
2013,7,7,女性,35,39
2013,7,7,男性,75,79
2013,10,10,女性,70,74
2013,8,10,女性,25,29
2013,8,8,男性,35,39
2013,8,10,男性,60,64
2013,6,7,男性,45,49
2013,8,7,男性,65,69
2013,7,6,女性,35,39
2013,3,-2,女性,40,44
2013,9,12,女性,35,39
2013,3,4,女性,40,44
2013,7,8,女性,55,59
2013,8,8,女性,45,49
2013,8,13,男性,55,59
2013,7,9,女性,30,34
2013,10,10,女性,45,49
2013,6,4,男性,55,59
2013,9,10,男性,60,64
2013,9,9,女性,70,74
2013,6,7,女性,30,34
2013,5,2,男性,45,49
2013,8,8,男性,65,69
2013,7,10,女性,45,49
2013,7,9,女性,50,54
2013,6,5,女性,55,59
2013,7,10,女性,45,49
2013,7,7,女性,60,64
2013,4,4,男性,45,49
2013,6,6,女性,45,49
2013,8,13,男性,50,54
2013,1,-4,女性,30,34
2013,6,6,女性,45,49
2013,8,9,女性,55,59
2013,8,5,男性,30,34
2013,6,6,女性,45,49
2013,7,7,男性,55,59
2013,7,10,男性,55,59
2013,6,6,男性,60,64
2013,8,10,女性,60,64
2013,9,14,女性,50,54
2013,7,9,男性,70,74
2013,10,10,女性,50,54
2013,6,3,男性,50,54
2013,7,10,男性,30,34
2013,3,4,男性,60,64
2013,8,9,女性,45,49
2013,7,7,女性,50,54
2013,9,9,男性,65,69
2013,8,7,女性,65,69
2013,9,6,女性,50,54
2013,8,9,女性,55,59
2013,10,12,男性,50,54
2013,5,5,男性,65,69
2013,7,7,女性,70,74
2013,8,7,女性,50,54
2013,8,7,男性,50,54
2013,6,6,女性,50,54
2013,8,8,女性,20,24
2013,7,12,男性,35,39
2013,10,8,女性,75,79
2013,8,7,女性,60,64
2013,7,9,女性,40,44
2013,4,2,男性,55,59
2013,7,9,男性,55,59
2013,8,8,女性,40,44
2013,5,4,女性,60,64
2013,3,4,女性,55,59
2013,3,1,女性,40,44
2013,4,2,男性,70,74
2013,7,6,女性,60,64
2013,7,6,女性,30,34
2013,9,10,女性,35,39
2013,8,8,女性,45,49
2013,8,8,男性,65,69
2013,8,8,女性,30,34
2013,8,10,女性,40,44
2013,5,5,男性,60,64
2013,5,2,男性,75,79
2013,10,10,男性,55,59
2013,6,6,女性,50,54
2013,7,7,女性,40,44
2013,5,7,男性,60,64
2013,5,8,女性,25,29
2013,6,7,女性,50,54
2013,7,12,女性,50,54
2013,10,15,男性,60,64
2013,7,8,男性,35,39
2013,5,5,男性,55,59
2013,8,8,男性,60,64
2013,5,7,女性,60,64
2013,8,8,女性,45,49
2013,7,11,女性,50,54
2013,6,6,男性,35,39
2013,5,5,女性,30,34
2013,8,8,男性,50,54
2013,8,5,女性,35,39
2013,6,6,男性,75,79
2013,8,13,女性,40,44
2013,10,10,女性,75,79
2013,7,7,女性,40,44
2013,2,2,女性,45,49
2013,7,7,男性,70,74
2013,8,11,女性,30,34
2013,8,8,女性,45,49
2013,7,7,女性,40,44
2013,5,4,女性,50,54
2013,10,10,男性,70,74
2013,2,0,女性,55,59
2013,7,12,女性,40,44
2013,5,3,女性,60,64
2013,8,11,女性,25,29
2013,3,5,女性,35,39
2013,8,8,女性,40,44
2013,9,9,女性,45,49
2013,8,10,男性,55,59
2013,8,11,女性,55,59
2013,9,14,男性,45,49
2013,6,6,女性,45,49
2013,9,9,女性,65,69
2013,6,7,女性,50,54
2013,5,5,女性,30,34
2013,6,4,男性,60,64
2013,5,2,男性,65,69
2013,8,10,男性,60,64
2013,7,10,男性,45,49
2013,5,5,男性,50,54
2013,8,6,女性,45,49
2013,4,4,女性,70,74
2013,8,6,女性,65,69
2013,6,6,男性,60,64
2013,6,3,女性,60,64
2013,9,14,女性,35,39
2013,5,7,男性,35,39
2013,5,3,女性,50,54
2013,9,12,女性,25,29
2013,8,10,女性,35,39
2013,10,12,女性,25,29
2013,4,4,女性,55,59
2013,5,5,女性,50,54
2013,9,10,男性,55,59
2013,5,5,女性,35,39
2013,10,10,女性,50,54
2013,4,-1,女性,40,44
2013,9,9,男性,30,34
2013,9,11,女性,45,49
2013,7,10,男性,50,54
2013,5,6,女性,40,44
2013,8,8,女性,40,44
2013,7,7,女性,50,54
2013,10,10,女性,40,44
2013,7,7,女性,40,44
2013,3,6,女性,45,49
2013,8,8,男性,45,49
2013,7,7,女性,65,69
2013,4,5,男性,60,64
2013,7,8,女性,40,44
2013,7,7,男性,60,64
2013,7,4,女性,50,54
2013,7,7,女性,50,54
2013,4,4,女性,30,34
2013,7,4,男性,65,69
2013,8,8,女性,60,64
2013,9,9,男性,75,79
2013,7,7,女性,45,49
2013,9,14,女性,35,39
2013,5,5,女性,35,39
2013,9,14,男性,25,29
2013,7,10,女性,50,54
2013,8,6,男性,55,59
2013,7,7,男性,70,74
2013,10,10,女性,45,49
2013,8,4,女性,55,59
2013,5,6,男性,50,54
2013,7,5,女性,45,49
2013,5,5,女性,55,59
2013,5,6,女性,50,54
2013,9,10,女性,50,54
2013,4,1,女性,35,39
2013,6,6,女性,45,49
2013,8,8,男性,50,54
2013,5,5,男性,60,64
2013,8,8,女性,60,64
2013,9,9,女性,40,44
2013,6,8,男性,60,64
2013,3,6,女性,50,54
2013,6,6,女性,60,64
2013,10,12,女性,50,54
2013,5,5,男性,45,49
2013,8,8,男性,65,69
2013,8,7,女性,35,39
2013,10,14,女性,30,34
2013,8,8,女性,40,44
2013,5,4,女性,50,54
2013,5,2,男性,45,49
2013,9,10,女性,40,44
2013,8,8,女性,55,59
2013,4,6,女性,35,39
2013,7,6,女性,50,54
2013,5,3,女性,55,59
2013,6,5,女性,50,54
2013,6,4,男性,65,69
2013,8,7,女性,55,59
2013,6,5,男性,65,69
2013,9,12,女性,40,44
2013,6,7,男性,40,44
2013,7,6,女性,60,64
2013,8,8,男性,60,64
2013,7,7,女性,55,59
2013,7,9,男性,60,64
2013,8,5,女性,40,44
2013,7,11,男性,50,54
2013,1,1,女性,40,44
2013,10,10,女性,65,69
2013,8,7,女性,60,64
2013,3,1,女性,30,34
2013,8,12,女性,35,39
2013,9,9,女性,60,64
2013,7,9,女性,65,69
2013,5,5,男性,65,69
2013,10,10,女性,40,44
2013,6,6,男性,55,59
2013,7,5,女性,65,69
2013,7,10,男性,55,59
2013,6,4,男性,65,69
2013,7,6,女性,45,49
2013,7,12,男性,35,39
2013,9,7,女性,60,64
2013,5,5,女性,45,49
2013,6,7,女性,50,54
2013,6,6,男性,60,64
2013,6,9,男性,50,54
2013,10,15,女性,50,54
2013,7,6,女性,65,69
2013,8,8,男性,35,39
2013,8,10,女性,40,44
2013,6,6,女性,35,39
2013,7,7,女性,50,54
2013,7,7,男性,45,49
2013,7,2,女性,55,59
2013,8,10,男性,45,49
2013,8,9,女性,40,44
2013,8,6,男性,60,64
2013,2,7,男性,40,44
2013,7,9,男性,60,64
2013,9,9,女性,45,49
2013,8,9,女性,40,44
2013,8,11,女性,40,44
2013,8,9,女性,35,39
2013,9,9,女性,45,49
2013,8,8,女性,60,64
2013,7,9,女性,50,54
2013,8,6,女性,40,44
2013,5,8,男性,30,34
2013,6,6,男性,65,69
2013,7,6,男性,55,59
2013,5,5,男性,45,49
2013,7,9,男性,35,39
2013,8,8,女性,60,64
2013,7,4,女性,40,44
2013,8,8,女性,45,49
2013,6,11,女性,35,39
2013,7,7,女性,55,59
2013,7,6,女性,35,39
2013,6,9,男性,45,49
2013,6,6,男性,40,44
2013,5,7,女性,45,49
2013,6,6,男性,60,64
2013,8,13,男性,35,39
2013,5,6,男性,60,64
2013,8,6,女性,50,54
2013,6,8,女性,65,69
2013,8,10,女性,45,49
2013,7,10,男性,65,69
2013,10,8,男性,65,69
2013,6,6,男性,60,64
2013,8,8,女性,65,69
2013,4,4,男性,55,59
2013,9,14,女性,35,39
2013,8,9,男性,50,54
2013,8,8,女性,50,54
2013,7,7,男性,50,54
2013,5,7,女性,50,54
2013,7,10,女性,50,54
2013,8,6,女性,60,64
2013,7,12,女性,30,34
2013,9,9,女性,35,39
2013,8,9,女性,45,49
2013,7,9,女性,60,64
2013,8,8,女性,35,39
2013,6,8,男性,70,74
2013,8,8,女性,65,69
2013,7,7,女性,35,39
2013,8,8,女性,40,44
2013,8,6,女性,40,44
2013,3,0,男性,45,49
2013,7,8,女性,60,64
2013,6,6,女性,45,49
2013,7,7,女性,40,44
2013,7,7,女性,55,59
2013,10,15,女性,30,34
2013,7,7,女性,55,59
2013,9,14,女性,45,49
2013,9,9,女性,40,44
2013,8,8,女性,50,54
2013,6,8,女性,35,39
2013,10,10,男性,50,54
2013,6,9,男性,60,64
2013,8,8,女性,40,44
2013,4,-1,男性,60,64
2013,6,5,女性,45,49
2013,9,9,女性,35,39
2013,5,2,男性,55,59
2013,5,5,男性,70,74
2013,7,9,男性,30,34
2013,7,7,男性,70,74
2013,6,8,男性,50,54
2013,8,9,女性,35,39
2013,8,8,男性,45,49
2013,8,11,女性,35,39
2013,10,10,女性,50,54
2013,8,10,女性,45,49
2013,8,9,男性,65,69
2013,10,10,女性,55,59
2013,6,5,女性,40,44
2013,8,8,女性,50,54
2013,2,-1,男性,65,69
2013,5,2,女性,75,79
2013,5,3,女性,55,59
2013,8,8,女性,40,44
2013,7,8,男性,65,69
2013,9,12,女性,50,54
2013,5,5,男性,60,64
2013,8,8,男性,40,44
2013,7,7,男性,35,39
2013,5,5,男性,55,59
2013,8,8,女性,45,49
2013,8,8,男性,45,49
2013,5,4,女性,40,44
2013,10,13,女性,25,29
2013,8,8,女性,60,64
2013,6,4,女性,60,64
2013,10,15,女性,40,44
2013,10,10,男性,50,54
2013,9,6,女性,50,54
2013,6,9,女性,55,59
2013,9,9,女性,40,44
2013,7,7,女性,40,44
2013,10,15,男性,50,54
2013,7,10,男性,50,54
2013,8,10,女性,30,34
2013,8,13,女性,40,44
2013,8,11,女性,40,44
2013,7,7,男性,65,69
2013,8,13,女性,20,24
2013,8,8,女性,45,49
2013,6,8,女性,45,49
2013,7,9,女性,50,54
2013,9,9,女性,65,69
2013,8,8,男性,60,64
2013,7,7,男性,50,54
2013,5,5,男性,60,64
2013,6,8,女性,60,64
2013,7,8,男性,55,59
2013,1,4,女性,60,64
2013,7,7,女性,55,59
2013,7,10,女性,25,29
2013,5,1,女性,45,49
2013,5,5,女性,45,49
2013,7,6,女性,60,64
2013,9,9,女性,60,64
2013,7,8,男性,50,54
2013,2,2,男性,60,64
2013,8,9,女性,55,59
2013,9,9,男性,35,39
2013,8,8,女性,50,54
2013,8,10,男性,50,54
2013,4,3,男性,55,59
2013,7,7,男性,35,39
2013,7,9,女性,40,44
2013,6,8,男性,35,39
2013,7,8,男性,45,49
2013,2,2,男性,45,49
2013,10,14,女性,25,29
2013,7,5,男性,65,69
2013,7,10,男性,40,44
2013,1,1,男性,50,54
2013,10,15,男性,50,54
2013,9,12,男性,45,49
2013,5,5,男性,45,49
2013,8,11,男性,25,29
2013,5,6,女性,20,24
2013,10,10,女性,60,64
2013,10,10,女性,65,69
2013,7,7,女性,40,44
2013,5,5,男性,60,64
2013,6,6,女性,45,49
2013,9,9,女性,45,49
2013,3,0,女性,30,34
2013,7,7,女性,70,74
2013,9,9,女性,40,44
2013,1,3,女性,50,54
2013,5,5,女性,50,54
2013,8,8,女性,25,29
2013,6,6,女性,50,54
2013,4,4,男性,50,54
2013,5,5,女性,40,44
2013,9,9,女性,45,49
2013,5,5,男性,65,69
2013,8,6,女性,45,49
2013,7,7,女性,50,54
2013,10,12,女性,25,29
2013,6,7,男性,45,49
2013,4,4,男性,55,59
2013,8,11,女性,35,39
2013,9,11,男性,35,39
2013,5,7,女性,50,54
2013,3,1,女性,40,44
2013,7,5,女性,40,44
2013,8,7,女性,40,44
2013,7,7,女性,45,49
